PROTOCOLO,ÓRGÃO,ENCAMINHAMENTO,MÊS,RESOLUBILIDADE,PEDIDO,ASSUNTO,RESPOSTA,TIPO RESPOSTA,MOTIVO TIPO
201894391,SEE,02/01/2019,janeiro,Concluído Fora do Prazo,Solicito da ouvidoria as seguintes informações: a relação dos contratos com data de início e término na disciplina de Educação Fisica da GRE RECIFE SUL.,Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, encaminho em anexo planilha contendo a relação dos professores contratados para lecionar na disciplina de Educação Física jurisdicionados na GRE Recife Sul, conforme solicitação dessa LAI.",Acesso concedido,Não se aplica
201894432,SEE,02/01/2019,janeiro,Concluído no Prazo,Relação dos Professores efetivos e contratados na área de T.I (Tecnologia da Informação) da GRE Araripe-Araripina-Pe.,Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, conforme as informações prestadas pela Secretaria Executiva de Educação Profissional, setor desta Secretaria de Educação, encaminho em anexo documentação contendo a relação dos professores efetivos e contratados na área de T.I da Gerência Regional de Educação de Araripina, conforme solicitação desta LAI.",Acesso concedido,Não se aplica
201894448,SEE,02/01/2019,janeiro,Concluído Fora do Prazo,"Relação de todos professores no regime de contrato temporário de Língua portuguesa, lotados na GRE RECIFE SUL, com as datas de início e fim dos contratos e com o nome das respectivas escolas em que estão lotados. Obrigada.",Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, encaminho em anexo planilha contendo a relação completa dos professores contratados em regime temporário para lecionar na disciplina de Língua Portuguesa, jurisdicionados na GRE-Recife Sul, conforme solicitação dessa LAi.",Acesso concedido,Não se aplica
201894475,SEE,02/01/2019,janeiro,Concluído no Prazo,"Solicito a relação dos Professores contratados do município de Surubim- Pernambuco, da disciplina de Educação Física.",Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, o qual solicita a relação de professores contratados para lecionar na disciplina de Educação Física no município de Surubim-PE, informo, que atualmente, apenas o professor DAVID ALVES TORRES, admitido no dia 03/09/2012 e finalizando no dia 31/12/2018, foi contratado para lecionar na Escola Minimo Pio XII.",Acesso concedido,Não se aplica
201894476,SEE,02/01/2019,janeiro,Concluído Fora do Prazo,"Solicito a relação dos professores de educação física, contratados, da GER de Limoeiro-Pernambuco.",Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, encaminho em anexo planilha contendo a relação dos professores contratados para lecionar na disciplina de Educação Física no município de Limoeiro, conforme solicitação dessa LAI.",Acesso concedido,Não se aplica
201893878,SEFAZ,03/01/2019,janeiro,Concluído no Prazo,"Solicito à Secretaria da Fazenda cópia do contrato de financiamento 0495.607-99 firmado entre o Estado de Pernambuco e a Caixa Econômica Federal em dezembro de 2017, bem como cópia do extrato da conta bancária atualizada referente ao supracitado contrato (atualizado, pelo menos, em 26/12/2018).",Licitações e Contratos,"Em resposta ao PAI Nº 201893878, Com fundamento no art. 1º da Lei Complementar Federal nº 105, de 10 de janeiro de 2001, indeferimos o atendimento ao pedido.",Acesso negado,Informação sigilosa conforme legislação específica
201893886,SEFAZ,03/01/2019,janeiro,Concluído no Prazo,"Solicito à Secretaria da Fazenda cópia dos extratos da conta única CC 600500100-7, Banco 104, Agência 1294, referentes aos meses de novembro e dezembro de 2018.",Execução Orçamentária e Financeira,"Em resposta ao PAI Nº 201893886, Com fundamento no art. 1º da Lei Complementar Federal nº 105, de 10 de janeiro de 2001, indeferimos o atendimento ao pedido.",Acesso negado,Informação sigilosa conforme legislação específica
201894526,SEE,02/01/2019,janeiro,Concluído no Prazo,"Relação dos contratos com data de início e término na disciplina de matemática das cidades de Arcoverde, Sertânia e Ibimirim.",Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, encaminho em anexo relação completa dos professores contratados para lecionar na disciplina de Matemática nos municípios de Sertânia, Arcoverde e Ibimirim, conforme solicitação.",Acesso concedido,Não se aplica
201894528,SEE,02/01/2019,janeiro,Concluído no Prazo,"Gostaria de receber informações sobre o quantitativo, nomes e datas de inicio e final de vinculo de professores de matemática sob contrato por tempo determinado nas escolas estaduais no município de São José do Egito/PE",Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, encaminho em anexo, dados apresentados pela Gerência de Desenvolvimento de Pessoas, setor desta Secretaria de Educação, contendo a relação dos professores contratados para lecionar na disciplina de Matemática no município de São José do Egito/PE, conforme solicitação da LAI.",Acesso concedido,Não se aplica
201894530,CPRH,02/01/2019,janeiro,Concluído no Prazo,"Gostaríamos de ter a relação de Cetas e Cras instalados em PE - tanto os públicos (União, Estado e Municípios) quanto os particulares (de ONGs, universidades, etc.) - com endereço, telefone e e-mail.",Gestão Ambiental,"""CETAS TANGARAEstrada da Mumbeca (PE-16), Km 8, Guabiraba, Recife-PE.Telefone: (81) 3182-9022CEMAFAUNA - CETAS / CRASCampus Ciências Agrárias, BR 407, Km12, lote 543, Projeto de Irrigação Nilo Coelho - S/N C1 - Petrolina-PE    CEP  56.300-000 UNIVASF www.cemafauna.univasf.edu.br cemafauna@univasf.edu.brTelefone: (87) 2101-4853 / 2101-4821 / 2101-4818 PROJETO PEIXE BOI - CRAS Endereço: Rod PE 001 - Forno Da Cal, Ilha de Itamaracá-PETelefones: (81) 3544-1056 / 3544-1948ICMBiowww4.icmbio.gov.br/cma/cma.sede@icmbio.gov.brE-mail biblioteca: bibliotecacmaicmbio@gmail.com ECOASSOCIADOS ? CRASEndereço: Rua Caraúna, Praça 4, Porto de Galinhas, Ipojuca/PETelefone: (81) 3552-2465.""",Acesso concedido,Não se aplica
201894587,PGE,02/01/2019,janeiro,Concluído no Prazo,Gostaria de obter cópia em formato .pdf do Parecer PGE nº 0026/2012.,Outros,"Em face do Recebimento do Pedido de Acesso à Informação nº 201894587, e das férias da Autoridade Administrativa, Sra. Juscelina Miguel da Silva, diligenciamos junto à Procuradoria Consultiva e segue no arquivo em anexo o Parecer nº 26/2012, que foi solicitado, relativo a estágio probatório, e cujo entendimento ainda representa o entendimento atual da Procuradoria Consultiva. Caso Vossa Senhoria encontre alguma dificuldade para acessar o arquivo ou efetuar sua leitura, solicitamos que seja contactada a Ouvidoria da Procuradoria Geral do Estado de Pernambuco.",Acesso concedido,Não se aplica
201894597,SEE,02/01/2019,janeiro,Concluído Fora do Prazo,"""Solicito da ouvidoria as seguintes informações: a relação dos contratos com data de início e término na disciplina de ?Gestão e Negócios: Administração? da cidades de Timbaúba. Na GRE da Zona da Mata Norte. """,Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, encaminho em anexo planilha contendo a relação dos profissionais contratados para atuar na área de Gestão e Negócios em Administração no município de Timbaúba, conforme solicitação dessa LAI.",Acesso concedido,Não se aplica
201894614,SEE,02/01/2019,janeiro,Concluído Fora do Prazo,"""solicito o nome das pessoas contratadas para disciplina de matemática, na GRE Mata Centro, nas cidades de Bezerros e Sairé, junto aos nomes dos contratados solicito número de matrícula dos mesmo , data de inicio e de término do contrato referente ao ano 2019.",Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, encaminho  em anexo planilha contendo a relação dos professores contratados para lecionar na disciplina de matemática nos municípios de Bezerros e Sairé, jurisdicionados na GRE Mata Centro, conforme solicitação dessa LAI.",Acesso concedido,Não se aplica
201894619,SEE,02/01/2019,janeiro,Concluído no Prazo,"""Solicito da ouvidoria as seguintes  informações: a relação dos contratos com data de início e término na disciplina de Biologia das  cidades de Paulista, Olinda e Abreu e Lima.""",Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, encaminho em anexo, dados apresentados pela Gerência de Desenvolvimento de Pessoas, setor desta Secretaria de Educação, contendo a relação dos professores contratados para lecionar na disciplina de Biologia nos municípios de Paulista, Olinda e Abreu e Lima, conforme solicitação da LAI.",Acesso concedido,Não se aplica
201894633,SEE,02/01/2019,janeiro,Concluído no Prazo,"""Relação de contratos em língua portuguesa  na cidade de Nazaré  da Mata,  com data de início e término do contrato.""",Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, encaminho em anexo, dados apresentados pela Gerência de Desenvolvimento de Pessoas, setor desta Secretaria de Educação contendo a relação dos professores contratador para lecionar na disciplina de Língua Portuguesa no município de Nazaré da Mata, conforme solicitação da LAI.",Acesso concedido,Não se aplica
201894646,SEE,02/01/2019,janeiro,Concluído Fora do Prazo," ""gostaria de solicitar a lista dos contratos temporários para professor de matemática da rede estadual, com data de início e término, para a cidade de Garanhuns.""",Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, encaminho em anexo planilha contendo a relação dos professores contratados para lecionar na disciplina de matemática no município de Garanhuns, conforme solicitação dessa LAI.",Acesso concedido,Não se aplica
201894647,SEE,02/01/2019,janeiro,Concluído no Prazo,"""Solicito da ouvidoria as seguintes informações: relação dos contratos de professores com prazo determinado e com data de início e término na disciplina de Educação Física das cidades de Garanhuns, São João e Bom Conselho.""",Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, encaminho em anexo, dados apresentados pela Gerência de Desenvolvimento de Pessoas, setor desta Secretaria de Educação, contendo a relação dos professores contratados para lecionar na disciplina de Educação Física nos municípios de Garanhuns, São João e Bom Conselho, conforme solicitação da LAI.",Acesso concedido,Não se aplica
201894649,SEE,02/01/2019,janeiro,Concluído no Prazo,"Por gentileza, solicito da ouvidoria as seguintes informações: a relação dos contratos com data de início e término no curso de Análises Clínicas na ETE Almirante Soares Dutra da GRE Recife. """,Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, encaminho em anexo, dados apresentados pela Secretaria Executiva de Educação Profissional, setor desta Secretaria de Educação, contendo relação completa dos professores contratados para lecionar nas disciplinas do curso de Análises Clínicas na Escola Técnica Estadual Almirante Soares Dutra, jurisdicionada na Gerência Regional de Educação Recife Norte, conforme solicitação desta LAI.",Acesso concedido,Não se aplica
2019412,SEE,03/01/2019,janeiro,Concluído no Prazo,"""Solicito informações quanto ao número de cargos ocupadas por professores efetivos e ocupados por professores contratados da área de Ciências Biológicas, que ministram aulas de ciências e/ou biologia nos ensinos fundamental e médio, nas escolas da Cidade do Paulista, GRE Metropolitana Norte.""",Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, encaminho em anexo, dados apresentados pela Gerência de Desenvolvimento de Pessoas, setor desta Secretaria de Educação, contendo a relação dos professores contratados e efetivos para lecionar na disciplina de Ciências Biológicas em turmas de ensino fundamental e médio no município de Paulista, conforme solicitação da LAI.",Acesso concedido,Não se aplica
